NoteID,CustomerID,NoteDate,NoteType,Priority,Summary
N00047,C001,2024-12-08,Ticket,Low,Note about renewal
N00052,C001,2025-01-04,Ticket,Low,Note about billing
N00024,C001,2025-05-14,Email,Low,Note about billing
N00009,C001,2025-06-16,Ticket,Medium,Note about renewal
N00027,C001,2025-06-19,Meeting,Low,Note about billing
N00011,C001,2025-07-05,Meeting,High,Note about renewal
N00072,C001,2025-08-02,Call,Medium,Note about renewal
N00090,C001,2025-09-08,Meeting,Medium,Note about renewal
N00109,C001,2025-09-25,Email,Medium,Note about upgrade
N00074,C001,2025-12-05,Ticket,Low,Note about upgrade
N00033,C001,2025-12-20,Call,Medium,Note about billing
N00060,C002,2025-01-21,Email,Medium,Note about upgrade
N00111,C002,2025-03-03,Call,Medium,Note about complaint
N00113,C002,2025-03-27,Call,Low,Note about delivery
N00029,C002,2025-04-19,Email,Medium,Note about renewal
N00037,C002,2025-06-25,Meeting,Medium,Note about complaint
N00106,C002,2025-08-27,Call,Low,Note about complaint
N00049,C002,2025-10-30,Email,Low,Note about upgrade
N00010,C003,2025-11-25,Call,Medium,Note about billing
N00050,C004,2024-12-04,Ticket,Low,Note about billing
N00070,C004,2025-04-29,Meeting,Low,Note about renewal
N00093,C004,2025-07-27,Call,Low,Note about upgrade
N00118,C004,2025-08-20,Call,Low,Note about delivery
N00018,C004,2025-12-02,Ticket,Low,Note about delivery
N00085,C005,2024-12-24,Call,Low,Note about complaint
N00057,C005,2025-02-20,Call,High,Note about complaint
N00036,C005,2025-06-21,Call,Low,Note about upgrade
N00059,C005,2025-08-16,Email,Low,Note about complaint
N00055,C005,2025-12-06,Ticket,Low,Note about renewal
N00008,C006,2025-08-01,Meeting,Medium,Note about upgrade
N00088,C006,2025-08-19,Meeting,High,Note about billing
N00025,C006,2025-09-14,Meeting,Low,Note about delivery
N00087,C006,2025-12-31,Ticket,Low,Note about billing
N00030,C007,2025-03-25,Email,Medium,Note about complaint
N00051,C007,2025-06-07,Meeting,Medium,Note about renewal
N00071,C007,2025-10-14,Ticket,Medium,Note about upgrade
N00097,C007,2025-10-14,Ticket,Low,Note about complaint
N00099,C008,2024-12-06,Ticket,High,Note about billing
N00062,C008,2024-12-17,Meeting,Low,Note about renewal
N00019,C008,2024-12-28,Email,Medium,Note about billing
N00120,C008,2025-01-03,Ticket,Low,Note about delivery
N00100,C008,2025-01-07,Meeting,High,Note about upgrade
N00058,C008,2025-05-03,Email,Medium,Note about renewal
N00012,C008,2025-06-19,Call,Medium,Note about delivery
N00045,C008,2025-10-05,Email,Low,Note about billing
N00108,C008,2025-12-07,Meeting,Medium,Note about complaint
N00044,C009,2025-02-17,Ticket,Medium,Note about delivery
N00064,C009,2025-09-24,Meeting,Low,Note about upgrade
N00020,C009,2025-10-18,Ticket,Low,Note about renewal
N00092,C009,2025-12-23,Call,High,Note about upgrade
N00077,C010,2024-12-07,Email,High,Note about renewal
N00096,C010,2025-01-12,Call,Medium,Note about renewal
N00075,C010,2025-03-03,Call,Low,Note about complaint
N00086,C010,2025-03-05,Ticket,Low,Note about complaint
N00115,C010,2025-08-16,Ticket,Medium,Note about billing
N00003,C010,2025-09-22,Ticket,Low,Note about complaint
N00101,C011,2024-12-01,Meeting,Medium,Note about complaint
N00078,C011,2025-02-23,Meeting,Medium,Note about billing
N00040,C011,2025-03-19,Call,Low,Note about billing
N00054,C011,2025-03-29,Call,Medium,Note about billing
N00095,C011,2025-06-18,Ticket,Low,Note about complaint
N00015,C011,2025-07-21,Call,Medium,Note about complaint
N00035,C011,2025-09-15,Call,Low,Note about delivery
N00076,C011,2025-09-19,Email,Low,Note about upgrade
N00041,C011,2025-12-27,Email,Low,Note about renewal
N00069,C012,2025-02-05,Email,Low,Note about billing
N00013,C012,2025-02-25,Email,Medium,Note about billing
N00026,C012,2025-09-08,Call,Medium,Note about renewal
N00022,C012,2025-10-08,Meeting,Low,Note about billing
N00063,C013,2024-12-24,Meeting,Low,Note about complaint
N00056,C013,2025-01-02,Meeting,Low,Note about delivery
N00080,C013,2025-01-28,Email,Low,Note about renewal
N00066,C013,2025-03-23,Email,Low,Note about delivery
N00119,C013,2025-05-31,Call,Low,Note about upgrade
N00105,C013,2025-08-24,Meeting,Medium,Note about renewal
N00067,C013,2025-09-21,Meeting,Medium,Note about delivery
N00112,C013,2025-10-01,Call,Medium,Note about upgrade
N00038,C013,2025-11-14,Meeting,High,Note about delivery
N00116,C013,2025-11-18,Email,Low,Note about complaint
N00091,C014,2025-02-12,Email,Medium,Note about upgrade
N00046,C014,2025-04-03,Email,Medium,Note about renewal
N00073,C014,2025-06-15,Meeting,Medium,Note about complaint
N00068,C014,2025-07-04,Meeting,High,Note about delivery
N00083,C014,2025-08-07,Email,Low,Note about upgrade
N00082,C014,2025-09-19,Email,Low,Note about delivery
N00089,C014,2025-11-29,Meeting,Medium,Note about renewal
N00107,C014,2025-11-29,Ticket,Low,Note about upgrade
N00110,C014,2025-12-03,Call,Low,Note about billing
N00081,C014,2025-12-25,Meeting,Low,Note about complaint
N00098,C015,2024-12-08,Meeting,High,Note about billing
N00004,C015,2025-02-10,Ticket,Medium,Note about billing
N00002,C015,2025-05-25,Meeting,Low,Note about delivery
